,N,Bx,By,Bz,Ex,Ey,Ez
3778,1000000,-2.64E-13,-3.02E-13,1.37E-10,-6978.257159,-3833.347147,-199743.7401
3779,1000000,1.52E-13,4.08E-13,1.36E-10,5691.59599,6492.27226,-196140.7
3780,1000000,-2.41E-13,6.81E-13,1.36E-10,-6510.914434,14634.50792,-191663.3921
3781,1000000,-1.08E-13,5.81E-13,1.37E-10,2262.191409,7483.54743,-197435.3374
3782,1000000,-5.75E-13,6.56E-15,1.37E-10,-17432.15522,-1023.42961,-197632.9631
3783,1000000,-8.74E-14,-9.17E-14,1.36E-10,-1002.23802,-2623.623432,-191146.7181
3784,1000000,2.90E-13,8.62E-14,1.36E-10,4495.895795,5354.197472,-194875.1783
3785,1000000,6.59E-14,1.25E-13,1.37E-10,-3829.210264,4020.11129,-198828.1417
3786,1000000,-6.85E-14,-1.35E-14,1.36E-10,4347.847189,-736.6220017,-195855.2412
3787,1000000,-4.59E-14,3.63E-13,1.38E-10,-112.3051639,9156.293161,-197321.4489
3788,1000000,-1.99E-13,-1.92E-13,1.35E-10,-13346.25615,-10739.08809,-191640.9064
3789,1000000,4.47E-13,5.52E-13,1.36E-10,9741.215798,10311.17071,-191646.476
3790,1000000,4.27E-13,4.68E-14,1.37E-10,4640.887056,4349.655283,-198978.1441
3791,1000000,-4.89E-14,-3.02E-14,1.39E-10,3390.499913,1723.168949,-199707.9592
3792,1000000,5.22E-14,-1.81E-13,1.35E-10,-5022.0766,-719.9658013,-190927.1259
3793,1000000,1.01E-13,-2.44E-13,1.37E-10,9446.245122,-1068.182482,-200062.9984
3794,1000000,-9.52E-14,2.65E-13,1.35E-10,-2303.774166,-1853.574718,-188339.1094
3795,1000000,2.79E-13,-2.25E-13,1.37E-10,-4386.95224,-6565.131397,-196888.1018
3796,1000000,-1.88E-13,-1.14E-13,1.36E-10,531.7116415,6237.219005,-189202.577
3797,1000000,2.52E-13,-2.58E-13,1.37E-10,4374.721247,-5181.881472,-196432.6573
3798,1000000,2.39E-13,-5.91E-13,1.37E-10,7333.734858,-9504.827004,-200664.5853
3799,1000000,1.24E-13,-2.88E-13,1.37E-10,-5819.028604,2102.924607,-196513.6973
3800,1000000,-3.09E-13,1.27E-14,1.36E-10,-9295.999658,-2153.231937,-189723.4272
3801,1000000,-2.90E-13,2.59E-13,1.36E-10,-9559.139753,583.5421274,-195326.9733
3802,1000000,5.66E-14,1.00E-14,1.37E-10,-8705.494765,830.9888308,-197086.5095
3803,1000000,1.59E-13,6.36E-13,1.37E-10,-134.0307175,16835.2536,-198195.9259
3804,1000000,4.14E-13,1.19E-13,1.37E-10,8149.031139,6533.184789,-200138.6645
