Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
96.7304,5.3077e-09,1296.01,683.241,662.632,-0.761718,0.266124,0.689941,176371,0,1316,175055
121.722,1.05761e-08,567.91,927.809,433.462,0.218496,0.134956,0.217686,279281,0,1909,277372
90.7586,4.38409e-09,835.637,1318.76,168.083,0.00246639,-0.185232,-0.995658,155266,0,1271,153995
76.9346,2.67043e-09,871.377,332.545,514.666,-0.757016,0.166442,1.36163,111569,0,1119,110450
122.121,1.06805e-08,827.328,1220.17,368.801,-0.765075,-0.312601,0.479546,281115,0,1844,279271
118.615,9.7866e-09,776.668,527.559,672.972,0.25917,0.0616952,-0.0930666,265203,0,1830,263373
110.644,7.94336e-09,1292.22,1127.79,327.527,-0.44643,-0.562627,-0.172715,230759,0,1715,229044
123.639,1.10838e-08,540.928,798.614,842.142,0.60673,-0.396344,0.2162,288148,0,1853,286295
91.866,4.54654e-09,370.138,438.366,1265.53,0.0988188,0.699991,-0.717422,159078,0,1255,157823
66.1543,1.69782e-09,613.27,1049.28,691.122,1.81038,-2.5356,-1.26007,82493,0,958,81535
77.6096,2.74134e-09,149.346,834.852,657.38,-0.72102,0.263222,0.404001,113536,0,1100,112436
106.038,6.99208e-09,952.449,930.665,534.776,-0.49599,0.835125,-0.722732,211947,0,1514,210433
80.017,3.00444e-09,390.032,602.665,1048.64,-0.791068,0.454016,0.951072,120689,0,1119,119570
106.959,7.17572e-09,208.531,655.825,511.913,-0.844731,-0.0908356,0.192002,215642,0,1581,214061
63.9081,1.53068e-09,354.875,648.332,317.306,0.878003,-1.15084,-0.0608247,76986,0,881,76105
88.7675,4.10184e-09,1007.37,841.829,740.439,0.704234,-0.513475,-0.352483,148528,0,1241,147287
116.51,9.2748e-09,613.033,1222.61,1247.7,-0.356263,0.866331,0.315822,255874,0,1829,254045
121.063,1.04052e-08,364.707,640.081,744.19,-0.526985,0.19208,0.385349,276264,0,1846,274418
92.3867,4.62429e-09,270.047,1332.8,394.605,-0.126947,-0.26313,0.0943987,160887,0,1297,159590
73.4454,2.32333e-09,271.197,944.45,785.615,0.988159,0.510188,1.14584,101679,0,1009,100670
83.5342,3.4183e-09,206.629,500.689,379.754,-0.665123,0.916317,-0.658521,131532,0,1127,130405
123.281,1.09876e-08,313.939,875.645,317.334,-0.263221,0.551648,0.224555,286478,0,1915,284563
95.5674,5.11853e-09,226.542,262.98,999.167,-0.231485,-0.389336,0.228898,172155,0,1342,170813
77.2878,2.70738e-09,733.274,1324.87,606.759,-0.865251,-0.493321,-0.294653,112596,0,1067,111529
106.541,7.09204e-09,868.525,896.618,1091.88,0.887684,-0.0719206,0.308049,213962,0,1541,212421
